region;total_population_2002;male_population;female_population;male_percent;female_percent
Регион;Популяция_2002;Мужчины;Женщины;Мужчины_процент;Женщины_процент
      прочие сельские населенные пункты;23550;10882;12668;46,2;53,8
  Терновский район - сельское население;25696;11856;13840;46,1;53,9
      с. Терновка (рц);4769;2185;2584;45,8;54,2
      прочие сельские населенные пункты;20927;9671;11256;46,2;53,8
  Хохольский район ;32889;14898;17991;45,3;54,7
    Городское население - пгт Хохольский (рц);7885;3579;4306;45,4;54,6
    Сельское население;25004;11319;13685;45,3;54,7
      с. Гремячье;3430;1533;1897;44,7;55,3
      с. Хохол;4944;2282;2662;46,2;53,8
      прочие сельские населенные пункты;16630;7504;9126;45,1;54,9
  Эртильский район ;31499;14721;16778;46,7;53,3
    Городское население - г. Эртиль (рц);12885;5993;6892;46,5;53,5
    Сельское население;18614;8728;9886;46,9;53,1
Ивановская область;1148329;515004;633325;44,8;55,2
    Городское население;949249;421678;527571;44,4;55,6
    Сельское население;199080;93326;105754;46,9;53,1
  г. Иваново;431721;190921;240800;44,2;55,8
          городские районы;;;;;
        Ленинский ;155948;68671;87277;44;56
        Октябрьский ;93341;40801;52540;43,7;56,3
        Советский ;67002;29593;37409;44,2;55,8
        Фрунзенский ;115430;51856;63574;44,9;55,1
  г. Вичуга;40870;17713;23157;43,3;56,7
  г. Кинешма;95233;41213;54020;43,3;56,7
  г. Тейково;36686;17643;19043;48,1;51,9
  г. Фурманов с подчиненными его администрации населенными пунктами ;40874;18021;22853;44,1;55,9
    Городское население - г. Фурманов;39691;17443;22248;43,9;56,1
    Сельское население;1183;578;605;48,9;51,1
  г. Шуя;62449;26612;35837;42,6;57,4
  Верхнеландеховский район ;5631;2568;3063;45,6;54,4
    Городское население - пгт Верхний Ландех (рц);2080;954;1126;45,9;54,1
    Сельское население;3551;1614;1937;45,5;54,5
  Вичугский район;23676;10631;13045;44,9;55,1
    Городское население;13238;5823;7415;44;56
      пгт Каменка;4269;1875;2394;43,9;56,1
      пгт Новописцово;3172;1394;1778;43,9;56,1
      пгт Старая Вичуга;5797;2554;3243;44,1;55,9
    Сельское население;10438;4808;5630;46,1;53,9
  Гаврилово-Посадский район ;20430;9853;10577;48,2;51,8
    Городское население;10707;4748;5959;44,3;55,7
      г. Гаврилов Посад (рц);7193;3207;3986;44,6;55,4
      пгт Иваньковский;467;210;257;45;55
      пгт Петровский;3047;1331;1716;43,7;56,3
    Сельское население;9723;5105;4618;52,5;47,5
  Заволжский район ;22039;9798;12241;44,5;55,5
    Городское население;15275;6663;8612;43,6;56,4
      г. Заволжск (рц);13455;5876;7579;43,7;56,3
      пгт Долматовский;438;203;235;46,3;53,7
      пгт Заречный;1382;584;798;42,3;57,7
    Сельское население;6764;3135;3629;46,3;53,7
  Ивановский район ;64270;29751;34519;46,3;53,7
    Городское население;29621;13836;15785;46,7;53,3
      г. Кохма;28761;13433;15328;46,7;53,3
      пгт Озерный;860;403;457;46,9;53,1
    Сельское население;34649;15915;18734;45,9;54,1
      с. Богородское;3104;1426;1678;45,9;54,1
      с. Ново-Талицы;8844;4112;4732;46,5;53,5
      прочие сельские населенные пункты;22701;10377;12324;45,7;54,3
  Ильинский район ;11103;5021;6082;45,2;54,8
    Городское население - пгт Ильинское-Хованское (рц);3768;1719;2049;45,6;54,4
    Сельское население;7335;3302;4033;45;55
  Кинешемский район ;27650;13589;14061;49,1;50,9
    Городское население - г. Наволоки;11248;4917;6331;43,7;56,3
    Сельское население;16402;8672;7730;52,9;47,1
  Комсомольский район;22042;9883;12159;44,8;55,2
    Городское население;16196;7199;8997;44,4;55,6
      г. Комсомольск (рц);9595;4299;5296;44,8;55,2
      пгт Марково;1297;575;722;44,3;55,7
      пгт Октябрьский;1271;554;717;43,6;56,4
      пгт Писцово;2873;1273;1600;44,3;55,7
      пгт Подозерский;1160;498;662;42,9;57,1
    Сельское население;5846;2684;3162;45,9;54,1
  Лежневский район ;20102;9033;11069;44,9;55,1
    Городское население;11293;4990;6303;44,2;55,8
      пгт Лежнево (рц);8314;3687;4627;44,3;55,7
      пгт Новые Горки;2979;1303;1676;43,7;56,3
    Сельское население;8809;4043;4766;45,9;54,1
  Лухский район;10014;4658;5356;46,5;53,5
    Городское население - пгт Лух (рц);3268;1494;1774;45,7;54,3
    Сельское население;6746;3164;3582;46,9;53,1
  Палехский район ;12791;5807;6984;45,4;54,6
    Городское население - пгт Палех (рц);5814;2622;3192;45,1;54,9
    Сельское население;6977;3185;3792;45,6;54,4
  Пестяковский район ;8629;3894;4735;45,1;54,9
    Городское население - пгт Пестяки (рц);4319;1941;2378;44,9;55,1
    Сельское население;4310;1953;2357;45,3;54,7
  Приволжский район ;28730;12519;16211;43,6;56,4
    Городское население;21175;9081;12094;42,9;57,1
      г. Приволжск (рц);18385;8012;10373;43,6;56,4
      г. Плес;2790;1069;1721;38,3;61,7
    Сельское население;7555;3438;4117;45,5;54,5
  Пучежский район ;17490;7858;9632;44,9;55,1
    Городское население - г. Пучеж (рц);10345;4632;5713;44,8;55,2
    Сельское население;7145;3226;3919;45,2;54,8
  Родниковский район ;38667;17281;21386;44,7;55,3
    Городское население;30150;13347;16803;44,3;55,7
      г. Родники (рц);28447;12592;15855;44,3;55,7
      пгт Каминский;1703;755;948;44,3;55,7
    Сельское население;8517;3934;4583;46,2;53,8
  Савинский район ;14471;6516;7955;45;55
    Городское население;8450;3714;4736;44;56
      пгт Савино (рц);6349;2810;3539;44,3;55,7
      пгт Архиповка;1802;781;1021;43,3;56,7
      пгт Панфилово;299;123;176;41,1;58,9
    Сельское население;6021;2802;3219;46,5;53,5
  Тейковский район ;14418;6586;7832;45,7;54,3
    Городское население;3993;1734;2259;43,4;56,6
      пгт Нерль;2373;1043;1330;44;56
      пгт Новое Леушино;1620;691;929;42,7;57,3
    Сельское население;10425;4852;5573;46,5;53,5
  Фурмановский район ;6524;3016;3508;46,2;53,8
    Городское население - пгт Дуляпино;1507;656;851;43,5;56,5
    Сельское население;5017;2360;2657;47;53
  Шуйский район ;23660;10720;12940;45,3;54,7
    Городское население - пгт Колобово;3013;1336;1677;44,3;55,7
    Сельское население;20647;9384;11263;45,4;54,6
      с. Китово;3037;1330;1707;43,8;56,2
      прочие сельские населенные пункты;17610;8054;9556;45,7;54,3
  Южский район ;28793;15214;13579;52,8;47,2
    Городское население;24475;13184;11291;53,9;46,1
      г. Южа (рц);15636;6918;8718;44,2;55,8
      пгт Моста;644;306;338;47,5;52,5
      пгт Мугреевский;949;409;540;43,1;56,9
      пгт Талицы;6215;5073;1142;81,6;18,4
      пгт Холуй;1031;478;553;46,4;53,6
    Сельское население;4318;2030;2288;47;53
  Юрьевецкий район ;19366;8685;10681;44,8;55,2
    Городское население - г. Юрьевец (рц);12664;5543;7121;43,8;56,2
    Сельское население;6702;3142;3560;46,9;53,1
