region;total_population;male_population;female_population;male_percent;female_percent
Регион;Популяция;Мужчины;Женщины;Мужчины_процент;Женщины_процент
Ильинский район;9703;4404;5299;45,4;54,6
Городское население - пгт Ильинское-Хованское (рц);3426;1511;1915;44,1;55,9
Сельское население;6277;2893;3384;46,1;53,9
Кинешемский район;23258;11452;11806;49,2;50,8
Городское население - г. Наволоки;10206;4440;5766;43,5;56,5
Сельское население;13052;7012;6040;53,7;46,3
Комсомольский район;20263;9120;11143;45;55
Городское население - г. Комсомольск (рц);8693;3814;4879;43,9;56,1
Сельское население;11570;5306;6264;45,9;54,1
село Писцово;3629;1570;2059;43,3;56,7
прочие сельские населенные пункты;7941;3736;4205;47;53
Лежневский район;19001;8515;10486;44,8;55,2
Городское население - пгт Лежнево (рц);8034;3584;4450;44,6;55,4
Сельское население;10967;4931;6036;45;55
Лухский район;9273;4344;4929;46,8;53,2
Городское население - пгт Лух (рц);3024;1370;1654;45,3;54,7
Сельское население;6249;2974;3275;47,6;52,4
Палехский район;10884;4915;5969;45,2;54,8
Городское население - пгт Палех (рц);5337;2377;2960;44,5;55,5
Сельское население;5547;2538;3009;45,8;54,2
Пестяковский район;7160;3185;3975;44,5;55,5
Городское население - пгт Пестяки (рц);4028;1794;2234;44,5;55,5
Сельское население;3132;1391;1741;44,4;55,6
Приволжский район;26327;11481;14846;43,6;56,4
Городское население;19087;8120;10967;42,5;57,5
г. Приволжск (рц);16747;7252;9495;43,3;56,7
г. Плес;2340;868;1472;37,1;62,9
Сельское население;7240;3361;3879;46,4;53,6
Пучежский район;13863;6089;7774;43,9;56,1
Городское население - г. Пучеж (рц);8588;3707;4881;43,2;56,8
Сельское население;5275;2382;2893;45,2;54,8
Родниковский район;35846;15832;20014;44,2;55,8
Городское население - г. Родники (рц);26310;11474;14836;43,6;56,4
Сельское население;9536;4358;5178;45,7;54,3
Савинский район;12079;5377;6702;44,5;55,5
Городское население - пгт Савино (рц);5507;2370;3137;43;57
Сельское население;6572;3007;3565;45,8;54,2
Тейковский район;12232;5631;6601;46;54
Городское население - пгт Нерль;2052;878;1174;42,8;57,2
Сельское население;10180;4753;5427;46,7;53,3
Фурмановский район - сельское население;6733;3139;3594;46,6;53,4
Шуйский район;21682;9827;11855;45,3;54,7
Городское население - пгт Колобово;2451;1044;1407;42,6;57,4
Сельское население;19231;8783;10448;45,7;54,3
село Китово;3054;1344;1710;44;56
прочие сельские населенные пункты;16177;7439;8738;46;54
Южский район;25728;13685;12043;53,2;46,8
Городское население - г. Южа (рц);14170;6255;7915;44,1;55,9
Сельское население;11558;7430;4128;64,3;35,7
село Талицы;5677;4671;1006;82,3;17,7
прочие сельские населенные пункты;5881;2759;3122;46,9;53,1
Юрьевецкий район;15930;7118;8812;44,7;55,3
Городское население - г. Юрьевец (рц);10210;4429;5781;43,4;56,6
Сельское население;5720;2689;3031;47;53
Калужская область;1010930;463841;547089;45,9;54,1
Городское население;771655;350734;420921;45,5;54,5
Сельское население;239275;113107;126168;47,3;52,7
г. Калуга с подчиненными его администрации населенными пунктами;339488;150671;188817;44,4;55,6
Городское население - г. Калуга;324698;143888;180810;44,3;55,7
  внутригородские округа;;;;;
  Ленинский;114084;50494;63590;44,3;55,7
  Московский;100923;44518;56405;44,1;55,9
  Октябрьский;109691;48876;60815;44,6;55,4
Сельское население;14790;6783;8007;45,9;54,1
г. Обнинск;104739;47906;56833;45,7;54,3
Бабынинский район;21041;9638;11403;45,8;54,2
Городское население - пгт Воротынск;11288;5206;6082;46,1;53,9
Сельское население;9753;4432;5321;45,4;54,6
поселок Бабынино (рц);3725;1616;2109;43,4;56,6
прочие сельские населенные пункты;6028;2816;3212;46,7;53,3
Барятинский район - сельское население;6340;2961;3379;46,7;53,3
село Барятино (рц);2748;1238;1510;45,1;54,9
прочие сельские населенные пункты;3592;1723;1869;48;52
Боровский район;61401;29852;31549;48,6;51,4
Городское население;49029;23486;25543;47,9;52,1
г. Боровск (рц);12283;5790;6493;47,1;52,9
г. Балабаново;26337;12784;13553;48,5;51,5
г. Ермолино;10409;4912;5497;47,2;52,8
Сельское население;12372;6366;6006;51,5;48,5
Дзержинский район;60377;28515;31862;47,2;52,8
Городское население;42583;20119;22464;47,2;52,8
г. Кондрово (рц);16672;7389;9283;44,3;55,7
пгт Куровской;3207;1445;1762;45,1;54,9
пгт Полотняный Завод;5224;2322;2902;44,4;55,6
пгт Пятовский;2984;1299;1685;43,5;56,5
пгт Товарково;14496;7664;6832;52,9;47,1
Сельское население;17794;8396;9398;47,2;52,8
деревня Жилетово;3090;1487;1603;48,1;51,9
село имени Льва Толстого;3681;1741;1940;47,3;52,7
прочие сельские населенные пункты;11023;5168;5855;46,9;53,1
Думиничский район;15261;7102;8159;46,5;53,5
Городское население - пгт Думиничи (рц);6326;2864;3462;45,3;54,7
Сельское население;8935;4238;4697;47,4;52,6
Жиздринский район;10593;4742;5851;44,8;55,2
Городское население - г. Жиздра (рц);5585;2479;3106;44,4;55,6
Сельское население;5008;2263;2745;45,2;54,8
Жуковский район;48999;23012;25987;47;53
Городское население;32211;14821;17390;46;54
г. Жуков (рц);12131;5629;6502;46,4;53,6
г. Белоусово;8412;3786;4626;45;55
г. Кременки;11582;5365;6217;46,3;53,7
пгт Городок ;86;41;45;47,7;52,3
Сельское население;16788;8191;8597;48,8;51,2
деревня Маринки;4133;2166;1967;52,4;47,6
прочие сельские населенные пункты;12655;6025;6630;47,6;52,4
Износковский район - сельское население;7011;3218;3793;45,9;54,1
село Износки (рц);1877;852;1025;45,4;54,6
прочие сельские населенные пункты;5134;2366;2768;46,1;53,9
Кировский район;42105;19185;22920;45,6;54,4
Городское население - г. Киров (рц);31882;14110;17772;44,3;55,7
Сельское население;10223;5075;5148;49,6;50,4
деревня Выползово;4741;2563;2178;54,1;45,9
прочие сельские населенные пункты;5482;2512;2970;45,8;54,2
Козельский район;41802;20069;21733;48;52
Городское население;30637;14920;15717;48,7;51,3
г. Козельск (рц);18245;9209;9036;50,5;49,5
г. Сосенский;12392;5711;6681;46,1;53,9
Сельское население;11165;5149;6016;46,1;53,9
Куйбышевский район - сельское население;7831;3493;4338;44,6;55,4
поселок Бетлица (рц);3589;1591;1998;44,3;55,7
прочие сельские населенные пункты;4242;1902;2340;44,8;55,2
Людиновский район;45041;20514;24527;45,5;54,5
Городское население - г. Людиново (рц);40530;18373;22157;45,3;54,7
