region;total_population_2020;male_population_0;male_percent_0;total_population_2010;male_population_1;male_percent_1;total_population_2002;male_population_2;male_percent_2
Регион;Популяция_2020;Мужчины_0;Мужчины_процент_0;Популяция_2010;Мужчины_1;Мужчины_процент_1;Популяция_2002;Мужчины_2;Мужчины_процент_2
нижнедевицкий район;17938.0;8406.0;46.9;20611.0;9453.0;45.9;24077.0;10888.0;45.2
острогожск;31699.0;14894.0;47.0;33842.0;16701.0;49.3;35746.0;17272.0;48.3
россошкинское поселение;397.0;199.0;50.1;;;;;;
луговское поселение;1730.0;839.0;48.5;;;;;;
шуберское поселение;2167.0;1004.0;46.3;;;;;;
николаевское поселение;1320.0;628.0;47.6;;;;;;
село еланьколено;4365.0;2028.0;46.5;4689.0;2137.0;45.6;5344.0;2438.0;45.6
село орлово;4354.0;2071.0;47.6;4116.0;1900.0;46.2;4104.0;1888.0;46.0
поселок абрамовка;;;;3363.0;1561.0;46.4;3444.0;1570.0;45.6
троицкое поселение;1069.0;482.0;45.1;;;;;;
село нижний мамон;3464.0;1666.0;48.1;;;;3969.0;1811.0;45.6
новоживотинновское поселение;3718.0;1784.0;48.0;;;;;;
рабочий поселок еланьколеновский;3274.0;1495.0;45.7;3916.0;1775.0;45.3;4170.0;1925.0;46.2
село слобода;3919.0;1970.0;50.3;3686.0;1707.0;46.3;3568.0;1644.0;46.1
нащекинское поселение;760.0;350.0;46.1;;;;;;
